sweep_name,component,swept_value,coupled_negative_component,coupled_negative_value,run_id,status,raw_file,log_file,plot_file,manual_behavior_label,manual_notes
RL1_single,R1,3500.0,,,0,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0000.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0000.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\plots\RL1_single_0000.png,,
RL1_single,R1,3750.0,,,1,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0001.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0001.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\plots\RL1_single_0001.png,,
RL1_single,R1,4000.0,,,2,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0002.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0002.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\plots\RL1_single_0002.png,,
RL1_single,R1,4250.0,,,3,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0003.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0003.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\plots\RL1_single_0003.png,,
RL1_single,R1,4500.0,,,4,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0004.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0004.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\plots\RL1_single_0004.png,,
RL1_single,R1,4750.0,,,5,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0005.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0005.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\plots\RL1_single_0005.png,,
RL1_single,R1,5000.0,,,6,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0006.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0006.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\plots\RL1_single_0006.png,,
RL1_single,R1,5250.0,,,7,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0007.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0007.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\plots\RL1_single_0007.png,,
RL1_single,R1,5500.0,,,8,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0008.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0008.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\plots\RL1_single_0008.png,,
RL1_single,R1,5750.0,,,9,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0009.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0009.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\plots\RL1_single_0009.png,,
RL1_single,R1,6000.0,,,10,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0010.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0010.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\plots\RL1_single_0010.png,,
RL1_single,R1,6250.0,,,11,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0011.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0011.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\plots\RL1_single_0011.png,,
RL1_single,R1,6500.0,,,12,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0012.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\raw_runs\RL1_single_0012.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\tonic_spiking\single_rl1\01_RL1_single\plots\RL1_single_0012.png,,
